Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Other,Markers
1676832726.465125,-999.0234375,997.0703125,817.3828125,-684.08203125,-684.08203125,
1676832726.4690313,-953.61328125,-976.07421875,-895.01953125,683.10546875,683.10546875,Stimulus 1
1676832726.4729376,-84.47265625,-145.99609375,-53.22265625,-836.42578125,-836.42578125,Stimulus 1
1676832726.4768438,-1000.0,-1000.0,-1000.0,164.55078125,164.55078125,Stimulus 1
1676832726.48075,-172.36328125,-369.140625,-604.98046875,-1000.0,-1000.0,Stimulus 1
1676832726.4846563,987.3046875,918.9453125,743.1640625,-897.4609375,-897.4609375,Stimulus 1
1676832726.4885626,-921.38671875,-915.52734375,-859.86328125,417.96875,417.96875,Stimulus 1
1676832726.4924688,120.60546875,14.16015625,90.8203125,-793.45703125,-793.45703125,Stimulus 1
1676832726.496375,-1000.0,-1000.0,-1000.0,145.99609375,145.99609375,Stimulus 1
1676832726.5002813,-190.91796875,-545.8984375,-778.80859375,-1000.0,-1000.0,Stimulus 1
1676832726.5041876,992.67578125,811.5234375,557.6171875,-1000.0,-1000.0,Stimulus 1
1676832726.5080938,-926.7578125,-860.3515625,-821.2890625,137.6953125,137.6953125,Stimulus 1
1676832726.500125,231.4453125,183.59375,139.6484375,-770.99609375,-770.99609375,Stimulus 1
1676832726.5040312,-1000.0,-1000.0,-1000.0,185.546875,185.546875,Stimulus 1
1676832726.5079374,-400.390625,-809.08203125,-949.21875,-1000.0,-1000.0,Stimulus 1
1676832726.5118437,925.78125,553.22265625,300.78125,-1000.0,-1000.0,Stimulus 1
1676832726.51575,-901.85546875,-810.546875,-786.1328125,-51.26953125,-51.26953125,Stimulus 1
1676832726.5196562,217.7734375,154.78515625,173.828125,-798.33984375,-798.33984375,Stimulus 1
1676832726.5235624,-1000.0,-1000.0,-1000.0,443.359375,443.359375,Stimulus 1
1676832726.5274687,-580.078125,-1000.0,-1000.0,-893.06640625,-893.06640625,Stimulus 1
1676832726.531375,819.82421875,243.1640625,-97.65625,-1000.0,-1000.0,Stimulus 1
1676832726.5352812,-862.3046875,-773.92578125,-807.6171875,-186.5234375,-186.5234375,Stimulus 1
1676832726.5391874,201.66015625,140.13671875,277.83203125,-850.09765625,-850.09765625,Stimulus 1
1676832726.5430937,-1000.0,-1000.0,-980.46875,542.96875,542.96875,Stimulus 1
1676832726.545125,-838.8671875,-1000.0,-1000.0,-833.984375,-833.984375,Stimulus 1
1676832726.5490313,497.55859375,26.3671875,-233.88671875,-1000.0,-1000.0,Stimulus 1
1676832726.5529375,-804.19921875,-772.94921875,-833.984375,-220.703125,-220.703125,Stimulus 1
1676832726.5568438,341.796875,257.32421875,371.09375,-918.45703125,-918.45703125,Stimulus 1
1676832726.56075,-967.7734375,-981.93359375,-949.21875,777.83203125,777.83203125,Stimulus 1
1676832726.5646563,-1000.0,-1000.0,-1000.0,-577.1484375,-577.1484375,Stimulus 1
1676832726.5685625,154.78515625,-157.71484375,-249.0234375,-1000.0,-1000.0,Stimulus 1
1676832726.5724688,-793.9453125,-816.40625,-907.71484375,-183.10546875,-183.10546875,Stimulus 1
1676832726.576375,520.01953125,443.84765625,687.5,-990.234375,-990.234375,Stimulus 1
1676832726.5802813,-859.86328125,-904.296875,-645.01953125,-997.55859375,-997.55859375,Stimulus 1
1676832726.5841875,-1000.0,-1000.0,-1000.0,-178.22265625,-178.22265625,Stimulus 1
1676832726.5880938,88.37890625,-237.3046875,-212.40234375,-1000.0,-1000.0,Stimulus 1
1676832726.632125,-868.1640625,-886.71875,-999.0234375,-297.36328125,-297.36328125,Stimulus 1
1676832726.6360312,777.83203125,669.43359375,-996.58203125,958.49609375,958.49609375,Stimulus 1
1676832726.6399374,-527.34375,-722.16796875,-199.70703125,-940.91796875,-940.91796875,Stimulus 1
1676832726.6438437,-1000.0,-1000.0,-1000.0,-51.7578125,-51.7578125,Stimulus 1
1676832726.64775,-80.56640625,-203.61328125,-284.1796875,-1000.0,-1000.0,Stimulus 1
1676832726.6516562,-963.8671875,-948.73046875,954.1015625,-417.96875,-417.96875,Stimulus 1
1676832726.6555624,-999.51171875,883.30078125,-950.68359375,886.23046875,886.23046875,Stimulus 1
1676832726.6594687,-186.03515625,-423.33984375,-79.58984375,-892.08984375,-892.08984375,Stimulus 1
1676832726.663375,-1000.0,-1000.0,-1000.0,129.39453125,129.39453125,Stimulus 1
