Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Other
1676836330.687125,-1000.0,-1000.0,-1000.0,891.11328125,-891.6015625
1676836330.6910312,-740.72265625,-876.46484375,-679.6875,-584.47265625,824.21875
1676836330.6949375,760.25390625,600.09765625,645.99609375,-1000.0,-655.76171875
1676836330.6988437,929.19921875,959.47265625,595.703125,-707.03125,-990.72265625
1676836330.70275,-609.375,-614.74609375,-763.671875,784.1796875,579.58984375
1676836330.7066562,-1000.0,-1000.0,-1000.0,823.73046875,-894.04296875
1676836330.7105625,-867.67578125,-874.51171875,-698.2421875,-637.6953125,839.35546875
1676836330.7144687,582.51953125,601.5625,658.203125,-1000.0,-636.23046875
1676836330.718375,-984.375,960.44921875,713.37890625,-834.47265625,-994.140625
1676836330.7222812,-526.85546875,-618.65234375,-739.2578125,621.58203125,580.078125
1676836330.7261875,-1000.0,-1000.0,-1000.0,-961.42578125,-890.13671875
1676836330.7300937,-859.375,-899.90234375,-738.28125,-467.7734375,827.63671875
1676836330.760125,566.89453125,546.38671875,632.32421875,-1000.0,-605.46875
1676836330.7640312,-936.5234375,999.0234375,801.7578125,-850.5859375,-1000.0
1676836330.7679374,-434.08203125,-585.44921875,-672.8515625,547.36328125,437.5
1676836330.7718437,-1000.0,-1000.0,-1000.0,-884.27734375,-890.13671875
1676836330.77575,-845.703125,-970.703125,-782.2265625,-308.10546875,874.0234375
1676836330.7796562,536.62109375,362.79296875,552.24609375,-1000.0,-483.3984375
1676836330.7835624,-858.88671875,-898.4375,903.3203125,-838.37890625,-1000.0
1676836330.7874687,-245.1171875,-440.91796875,-592.7734375,521.97265625,276.3671875
1676836330.791375,-1000.0,-1000.0,-1000.0,-830.56640625,-910.64453125
1676836330.7952812,-887.6953125,-1000.0,-864.2578125,-41.9921875,945.80078125
1676836330.7991874,420.41015625,161.1328125,382.8125,-1000.0,-287.59765625
1676836330.8030937,-798.33984375,-826.66015625,941.89453125,-888.671875,-1000.0
1676836330.806125,138.671875,-278.80859375,-554.19921875,454.1015625,14.16015625
1676836330.8100312,-1000.0,-1000.0,-1000.0,-802.734375,-976.5625
1676836330.8139374,-1000.0,-1000.0,-958.0078125,269.53125,-991.2109375
1676836330.8178437,239.2578125,-222.16796875,85.9375,-1000.0,-71.2890625
1676836330.82175,-782.71484375,-868.1640625,970.703125,-999.0234375,-1000.0
1676836330.8256562,504.39453125,109.375,-308.10546875,355.46875,-341.796875
1676836330.8295624,-851.5625,-1000.0,-1000.0,-795.41015625,894.04296875
1676836330.8334687,-1000.0,-1000.0,-952.1484375,332.03125,-917.48046875
1676836330.837375,14.16015625,-553.22265625,-90.33203125,-932.6171875,264.16015625
1676836330.8412812,-875.9765625,-989.2578125,953.61328125,-1000.0,-1000.0
1676836330.8451874,657.2265625,503.90625,50.29296875,160.64453125,-638.18359375
1676836330.8490937,-746.58203125,-905.2734375,-927.734375,-819.3359375,770.5078125
1676836330.852125,-1000.0,-1000.0,-1000.0,663.57421875,-877.9296875
1676836330.8560312,-278.3203125,-712.890625,-254.39453125,-704.1015625,577.1484375
1676836330.8599374,-961.9140625,869.140625,910.15625,-1000.0,-948.73046875
1676836330.8638437,777.83203125,724.609375,278.80859375,-188.96484375,-819.82421875
1676836330.86775,-639.6484375,-809.08203125,-821.77734375,-952.63671875,684.5703125
1676836330.8716562,-1000.0,-1000.0,-1000.0,831.0546875,-876.953125
1676836330.8755624,-583.0078125,-814.453125,-500.48828125,-552.24609375,682.12890625
1676836330.8794687,893.06640625,713.8671875,770.5078125,-1000.0,-819.82421875
1676836330.883375,892.578125,879.8828125,436.03515625,-539.0625,-957.03125
1676836330.8872812,-585.9375,-695.3125,-806.640625,913.0859375,566.40625
1676836330.8911874,-1000.0,-1000.0,-1000.0,886.23046875,-876.953125
1676836330.8950937,-717.28515625,-876.46484375,-673.828125,-581.54296875,773.4375
1676836330.882125,781.73828125,600.09765625,648.92578125,-1000.0,-721.6796875
1676836330.8860312,923.828125,959.9609375,646.484375,-694.3359375,-979.98046875
1676836330.8899374,-604.98046875,-614.74609375,-737.79296875,803.7109375,577.63671875
1676836330.8938437,-1000.0,-1000.0,-1000.0,918.45703125,-895.01953125
1676836330.89775,-845.21484375,-874.51171875,-704.58984375,-600.09765625,839.35546875
1676836330.9016562,639.6484375,601.5625,642.08984375,-1000.0,-636.23046875
1676836330.9055624,952.63671875,959.9609375,678.7109375,-802.734375,-994.140625
1676836330.9094687,-614.2578125,-614.74609375,-739.74609375,662.59765625,580.078125
1676836330.913375,-1000.0,-1000.0,-1000.0,-989.2578125,-891.6015625
1676836330.9172812,-859.86328125,-873.53515625,-751.46484375,-508.30078125,830.078125
1676836330.9211874,564.453125,599.12109375,630.37109375,-1000.0,-611.81640625
1676836330.9250937,-936.03515625,970.703125,770.99609375,-852.05078125,-1000.0
1676836330.925125,-434.08203125,-616.2109375,-704.1015625,550.29296875,466.796875
1676836330.9290311,-1000.0,-1000.0,-1000.0,-894.04296875,-885.7421875
1676836330.9329374,-845.703125,-955.078125,-769.04296875,-337.40234375,852.5390625
1676836330.9368436,536.62109375,406.25,594.7265625,-1000.0,-529.78515625
1676836330.94075,-858.88671875,-916.015625,868.1640625,-841.30859375,-1000.0
1676836330.9446561,-245.1171875,-469.7265625,-622.55859375,528.3203125,321.77734375
1676836330.9485624,-1000.0,-1000.0,-1000.0,-842.28515625,-905.2734375
1676836330.9524686,-887.6953125,-1000.0,-863.28125,-111.81640625,931.15234375
1676836330.956375,420.41015625,209.9609375,414.0625,-1000.0,-324.21875
1676836330.9602811,-799.8046875,-837.890625,925.78125,-844.23828125,-1000.0
1676836330.9641874,143.06640625,-306.15234375,-585.9375,515.13671875,59.08203125
1676836330.9680936,-1000.0,-1000.0,-1000.0,-812.01171875,-954.1015625
1676836330.970125,-996.58203125,-1000.0,-952.1484375,190.91796875,986.81640625
1676836330.9740312,300.78125,-107.421875,151.3671875,-1000.0,-182.6171875
1676836330.9779375,-778.80859375,-843.75,971.6796875,-986.328125,-1000.0
1676836330.9818437,319.3359375,27.34375,-396.97265625,349.609375,-276.85546875
1676836330.98575,-951.171875,-1000.0,-1000.0,-792.48046875,913.0859375
1676836330.9896562,-879.39453125,-1000.0,-911.1328125,327.1484375,-945.3125
1676836330.9935625,231.93359375,-461.9140625,-55.6640625,-936.5234375,172.36328125
1676836330.9974687,-837.890625,-945.80078125,976.07421875,-1000.0,-1000.0
1676836331.001375,602.05078125,400.87890625,97.16796875,160.15625,-597.16796875
1676836331.0052812,-779.296875,-935.05859375,-924.8046875,-819.3359375,790.0390625
1676836331.0091875,-1000.0,-1000.0,-1000.0,664.55078125,-879.39453125
1676836331.0130937,-213.37890625,-698.73046875,-225.09765625,-705.56640625,522.94921875
1676836331.015125,-937.98828125,895.5078125,919.921875,-1000.0,-985.83984375
1676836331.0190313,767.578125,690.91796875,255.37109375,-171.875,-785.15625
1676836331.0229375,-634.27734375,-831.54296875,-834.47265625,-947.75390625,705.56640625
1676836331.0268438,-1000.0,-1000.0,-1000.0,832.51953125,-879.8828125
1676836331.03075,-583.0078125,-811.03515625,-480.46875,-555.6640625,675.29296875
1676836331.0346563,893.06640625,726.5625,786.62109375,-1000.0,-830.078125
1676836331.0385625,892.578125,859.375,439.94140625,-439.94140625,-946.77734375
1676836331.0424688,-586.9140625,-715.33203125,-811.5234375,956.54296875,577.63671875
1676836331.046375,-1000.0,-1000.0,-1000.0,868.65234375,-881.34765625
