Timestamp,TP9,AF7,AF8,TP10,Marker,Marker_timestamp
1678447609.239125,-15.625,-17.08984375,-28.3203125,-1.46484375,n/a,
1678447609.2430313,-19.53125,-32.2265625,-20.99609375,-7.8125,n/a,
1678447609.2469375,-32.71484375,-37.109375,-20.5078125,-41.015625,n/a,
1678447609.2508438,-28.3203125,-37.109375,-26.3671875,-28.3203125,n/a,
1678447609.25475,-21.484375,-46.875,-27.83203125,-7.8125,n/a,
1678447609.2586563,-16.11328125,-41.9921875,-29.296875,-4.39453125,n/a,
1678447609.2625625,-18.06640625,-32.2265625,-34.66796875,-0.9765625,n/a,
1678447609.2664688,-37.109375,-12.6953125,-32.71484375,-24.90234375,n/a,
1678447609.270375,-31.25,-6.8359375,-37.59765625,-32.2265625,n/a,
1678447609.2742813,-8.7890625,-21.97265625,-44.43359375,-14.6484375,n/a,
1678447609.2781875,-7.32421875,-19.53125,-33.69140625,3.41796875,n/a,
1678447609.2820938,-16.11328125,-23.92578125,-21.97265625,11.71875,n/a,
1678447609.284125,-45.41015625,-29.78515625,-15.625,-35.64453125,n/a,
1678447609.2880313,-43.45703125,-27.34375,-18.06640625,-40.0390625,n/a,
1678447609.2919376,-13.671875,-25.390625,-24.90234375,-7.32421875,n/a,
1678447609.2958438,-15.13671875,-40.52734375,-25.87890625,-7.32421875,n/a,
1678447609.29975,-23.4375,-56.15234375,-27.83203125,-4.8828125,n/a,
1678447609.3036563,-34.1796875,-31.25,-32.71484375,-28.80859375,n/a,
1678447609.3075626,-26.85546875,-7.32421875,-29.78515625,-31.73828125,n/a,
1678447609.3114688,-12.20703125,-28.3203125,-27.83203125,-16.11328125,n/a,
1678447609.315375,-16.6015625,-29.296875,-28.3203125,-20.99609375,n/a,
1678447609.3192813,-16.11328125,-15.625,-31.25,-13.18359375,n/a,
1678447609.3231876,-34.1796875,-16.11328125,-41.9921875,-36.62109375,n/a,
1678447609.3270938,-38.0859375,-17.08984375,-34.66796875,-50.78125,n/a,
1678447609.345125,-22.94921875,-35.64453125,-21.484375,-28.3203125,n/a,
1678447609.3490312,-18.5546875,-48.33984375,-30.2734375,-18.5546875,n/a,
1678447609.3529375,-17.578125,-44.921875,-38.0859375,-15.625,n/a,
1678447609.3568437,-35.64453125,-49.8046875,-34.66796875,-41.50390625,n/a,
1678447609.36075,-46.38671875,-63.96484375,-36.62109375,-55.6640625,n/a,
1678447609.3646562,-26.85546875,-39.55078125,-37.59765625,-23.92578125,n/a,
1678447609.3685625,-16.6015625,-12.20703125,-36.1328125,-5.859375,n/a,
1678447609.3724687,-23.92578125,-10.7421875,-43.9453125,-7.32421875,n/a,
1678447609.376375,-42.48046875,-18.06640625,-34.1796875,-35.15625,n/a,
1678447609.3802812,-43.45703125,-22.94921875,-23.4375,-49.31640625,n/a,
1678447609.3841875,-34.1796875,-36.1328125,-32.2265625,-38.0859375,n/a,
1678447609.3880937,-33.203125,-41.50390625,-38.57421875,-34.1796875,n/a,
1678447609.389125,-28.80859375,-36.1328125,-38.57421875,-16.6015625,n/a,
1678447609.3930314,-34.1796875,-45.41015625,-25.87890625,-19.04296875,n/a,
1678447609.3969376,-46.38671875,-33.69140625,-26.85546875,-42.96875,n/a,
1678447609.4008439,-35.64453125,-15.625,-35.64453125,-32.2265625,n/a,
1678447609.40475,-22.94921875,-24.90234375,-32.2265625,-17.08984375,n/a,
1678447609.4086564,-15.13671875,-24.90234375,-24.90234375,-0.48828125,n/a,
1678447609.4125626,-22.4609375,-16.6015625,-29.78515625,-9.765625,n/a,
1678447609.4164689,-41.50390625,-18.5546875,-28.80859375,-52.734375,n/a,
1678447609.420375,-33.69140625,-34.1796875,-29.78515625,-42.96875,n/a,
1678447609.4242814,-11.71875,-35.15625,-30.2734375,-4.8828125,n/a,
1678447609.4281876,-12.6953125,-28.80859375,-31.25,2.44140625,n/a,
1678447609.4320939,-26.3671875,-41.9921875,-40.52734375,-19.04296875,n/a,
1678447609.434125,-36.1328125,-46.875,-30.2734375,-41.9921875,n/a,
1678447609.4380312,-31.25,-53.22265625,-25.390625,-36.1328125,n/a,
1678447609.4419374,-15.13671875,-41.9921875,-32.2265625,-17.08984375,n/a,
1678447609.4458437,-2.44140625,-32.71484375,-26.85546875,-0.9765625,n/a,
1678447609.44975,-13.18359375,-38.0859375,-23.92578125,-7.32421875,n/a,
1678447609.4536562,-35.15625,-37.109375,-30.76171875,-41.9921875,n/a,
1678447609.4575624,-21.484375,-37.59765625,-32.2265625,-39.0625,n/a,
1678447609.4614687,-7.8125,-28.3203125,-29.78515625,-16.6015625,n/a,
1678447609.465375,-4.8828125,-18.06640625,-35.64453125,1.46484375,n/a,
1678447609.4692812,4.39453125,-9.27734375,-26.3671875,29.78515625,n/a,
1678447609.4731874,-26.3671875,-15.13671875,-22.94921875,-14.6484375,n/a,
1678447609.4770937,-30.76171875,-31.25,-30.2734375,-36.62109375,n/a,
1678447609.479125,-6.34765625,-41.015625,-33.203125,-10.7421875,n/a,
1678447609.4830313,-14.6484375,-27.83203125,-40.0390625,-12.20703125,n/a,
1678447609.4869375,-20.99609375,-26.3671875,-33.203125,-14.16015625,n/a,
1678447609.4908438,-32.2265625,-30.2734375,-21.484375,-31.25,n/a,
1678447609.49475,-30.76171875,-20.01953125,-16.6015625,-32.2265625,n/a,
1678447609.4986563,-13.18359375,-23.4375,-12.6953125,-5.37109375,n/a,
1678447609.5025625,-14.6484375,-24.4140625,-9.765625,0.48828125,n/a,
1678447609.5064688,-22.4609375,-33.69140625,-20.01953125,8.30078125,n/a,
