Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Other
1676843876.721125,-438.96484375,-35.64453125,-30.76171875,-255.37109375,-178.22265625
1676843876.7250311,-679.6875,-6.8359375,-7.32421875,-465.8203125,-998.046875
1676843876.7289374,-211.42578125,-14.16015625,-31.73828125,-193.84765625,-739.2578125
1676843876.7328436,558.10546875,-55.17578125,-71.77734375,308.59375,359.86328125
1676843876.73675,589.84375,-60.05859375,-79.1015625,381.34765625,935.05859375
1676843876.7406561,-331.0546875,-19.53125,-28.3203125,-199.70703125,89.84375
1676843876.7445624,-683.59375,-24.90234375,-4.39453125,-452.63671875,-487.79296875
1676843876.7484686,-321.77734375,-58.59375,-34.1796875,-252.9296875,-549.8046875
1676843876.752375,458.984375,-83.0078125,-71.77734375,233.88671875,73.2421875
1676843876.7562811,677.734375,-74.70703125,-71.77734375,437.98828125,943.84765625
1676843876.7601874,-203.61328125,-35.64453125,-30.76171875,-92.7734375,239.74609375
1676843876.7640936,-676.7578125,-3.90625,-19.04296875,-444.3359375,-865.72265625
1676843876.781125,-360.3515625,-11.23046875,-47.8515625,-279.78515625,-969.23828125
1676843876.7850313,383.7890625,-58.59375,-75.68359375,196.2890625,-53.22265625
1676843876.7889376,724.12109375,-76.171875,-74.70703125,463.37890625,936.03515625
1676843876.7928438,-111.328125,-49.31640625,-39.55078125,-42.48046875,331.0546875
1676843876.79675,-692.87109375,-44.921875,-14.6484375,-452.1484375,-818.359375
1676843876.8006563,-379.39453125,-44.921875,-12.20703125,-260.25390625,-805.6640625
1676843876.8045626,300.29296875,-50.29296875,-45.8984375,159.66796875,32.71484375
1676843876.8084688,736.81640625,-65.4296875,-78.125,465.33203125,882.8125
1676843876.812375,206.54296875,-45.8984375,-63.4765625,171.875,752.9296875
1676843876.8162813,-592.28515625,-13.671875,-20.01953125,-354.98046875,-151.85546875
1676843876.8201876,-627.44140625,-22.4609375,-8.7890625,-424.31640625,-731.4453125
1676843876.8240938,104.98046875,-64.94140625,-49.8046875,1.46484375,-402.34375
1676843876.826125,703.61328125,-80.078125,-76.66015625,423.828125,746.09375
1676843876.8300312,77.63671875,-38.57421875,-49.31640625,78.125,606.93359375
1676843876.8339374,-676.7578125,-19.04296875,-27.83203125,-442.87109375,-632.8125
1676843876.8378437,-560.546875,-29.296875,-31.73828125,-420.8984375,-1000.0
1676843876.84175,88.37890625,-67.87109375,-51.26953125,-13.18359375,-397.94921875
1676843876.8456562,732.91015625,-114.2578125,-82.03125,432.6171875,771.484375
1676843876.8495624,390.625,-80.56640625,-72.265625,274.90234375,-994.140625
1676843876.8534687,-526.3671875,-15.13671875,-30.2734375,-315.91796875,-104.98046875
1676843876.857375,-694.3359375,1.46484375,-18.06640625,-477.05078125,-1000.0
1676843876.8612812,-42.96875,-29.296875,-36.1328125,-76.66015625,-272.94921875
1676843876.8651874,692.3828125,-74.70703125,-62.98828125,414.0625,873.046875
1676843876.8690937,312.5,-70.3125,-62.5,221.19140625,781.25
1676843876.870125,-570.80078125,-45.8984375,-29.78515625,-353.02734375,-311.5234375
1676843876.8740313,-639.6484375,-35.64453125,-19.04296875,-442.3828125,-989.2578125
1676843876.8779376,-99.609375,-48.828125,-41.50390625,-120.1171875,-722.65625
1676843876.8818438,665.0390625,-94.23828125,-74.70703125,372.55859375,445.3125
1676843876.88575,479.00390625,-93.75,-60.05859375,318.84765625,-997.0703125
1676843876.8896563,-403.80859375,-43.9453125,-20.99609375,-229.00390625,116.2109375
1676843876.8935626,-666.9921875,-20.01953125,-10.7421875,-453.61328125,-868.1640625
1676843876.8974688,-208.984375,-35.15625,-34.66796875,-187.98828125,-830.078125
1676843876.901375,615.72265625,-76.171875,-65.91796875,366.2109375,374.0234375
1676843876.9052813,529.78515625,-73.73046875,-73.2421875,374.51171875,966.796875
1676843876.9091876,-434.5703125,-35.64453125,-45.8984375,-245.60546875,-73.73046875
1676843876.9130938,-693.84765625,-49.31640625,-17.578125,-466.30859375,-955.56640625
1676843876.917125,-250.0,-57.12890625,-21.484375,-203.61328125,-783.69140625
1676843876.9210312,521.484375,-60.05859375,-58.10546875,297.36328125,260.7421875
1676843876.9249375,600.5859375,-68.84765625,-66.40625,403.3203125,901.3671875
1676843876.9288437,-289.0625,-36.1328125,-25.390625,-147.94921875,125.9765625
1676843876.93275,-674.8046875,-10.25390625,-8.30078125,-437.5,-667.96875
1676843876.9366562,-311.5234375,-29.296875,-21.97265625,-249.0234375,-738.28125
1676843876.9405625,449.21875,-65.91796875,-64.453125,227.5390625,120.60546875
1676843876.9444687,684.08203125,-65.91796875,-80.078125,443.84765625,958.0078125
1676843876.948375,-173.828125,-25.87890625,-39.0625,-61.03515625,573.73046875
1676843876.9522812,-682.6171875,-12.20703125,-27.34375,-446.2890625,-545.8984375
1676843876.9561875,-409.66796875,-23.4375,-26.3671875,-316.89453125,-1000.0
1676843876.9600937,356.4453125,-73.73046875,-39.55078125,175.29296875,-110.83984375
1676843876.961125,745.1171875,-95.21484375,-64.453125,466.30859375,910.15625
1676843876.9650311,-75.1953125,-39.55078125,-47.8515625,-23.4375,406.73828125
1676843876.9689374,-681.640625,-17.578125,-22.94921875,-453.125,-724.609375
1676843876.9728436,-459.9609375,-29.296875,-14.16015625,-352.5390625,-967.28515625
1676843876.97675,256.8359375,-49.31640625,-37.109375,104.4921875,-30.2734375
1676843876.9806561,742.67578125,-67.3828125,-74.70703125,465.8203125,929.19921875
1676843876.9845624,63.4765625,-50.78125,-57.12890625,76.66015625,611.328125
1676843876.9884686,-648.92578125,-22.4609375,-28.3203125,-401.3671875,-374.51171875
1676843876.992375,-547.36328125,-24.4140625,-40.0390625,-371.58203125,-648.4375
1676843876.9962811,136.23046875,-72.265625,-67.87109375,34.1796875,-295.41015625
1676843877.0001874,735.3515625,-95.703125,-83.0078125,453.125,714.35546875
1676843877.0040936,191.40625,-57.6171875,-51.7578125,164.0625,783.203125
1676843877.006125,-584.9609375,-24.90234375,-21.484375,-351.07421875,-450.68359375
1676843877.0100312,-574.21875,-20.5078125,-24.90234375,-397.94921875,-1000.0
1676843877.0139375,44.43359375,-37.109375,-49.8046875,-39.55078125,-465.8203125
1676843877.0178437,689.453125,-70.3125,-76.171875,398.4375,740.72265625
1676843877.02175,204.58984375,-54.19921875,-64.94140625,144.04296875,777.83203125
1676843877.0256562,-632.32421875,-19.04296875,-34.66796875,-409.1796875,-405.76171875
1676843877.0295625,-643.06640625,-31.73828125,-28.3203125,-464.35546875,-992.1875
1676843877.0334687,-40.52734375,-46.875,-46.875,-93.26171875,-184.5703125
1676843877.037375,689.94140625,-68.359375,-89.84375,395.5078125,909.66796875
1676843877.0412812,319.3359375,-53.22265625,-92.28515625,209.9609375,787.109375
1676843877.0451875,-583.49609375,-24.4140625,-39.55078125,-376.46484375,-311.03515625
1676843877.0490937,-657.2265625,-33.203125,-16.11328125,-474.12109375,-1000.0
1676843877.050125,-89.84375,-48.33984375,-43.45703125,-133.30078125,-640.13671875
1676843877.0540311,669.921875,-73.73046875,-81.0546875,375.48828125,541.9921875
